name,position,tags,citation,email,hindex,iindex,maxyear,minyear
Raul Perez,Professor of Computer Science and Artificial Intelligence|   Universidad de Granada None,Artificial Intelligence| Fuzzy Logic| Genetic Algorithms| Machine Learning,1580, decsai.ugr.es,16,26,2019,1994
Jun Hong,Professor in Artificial Intelligence|   University of the West of England|  Bristol |  UK,Artificial Intelligence| Data Science| Autonomous Systems| Social Network Analysis,1260, uwe.ac.uk - ,17,27,2020,1990
Sadid A. Hasan,Senior Director of Artificial Intelligence at CVS Health Homepage None,Computational Linguistics| Natural Language Processing| Artificial Intelligence| Machine Learning| Clinical Informatics,986, aetna.com - ,18,24,2020,2003
Alexis Maldonado,Researcher|  Artificial Intelligence -  Universitaet Bremen None,Robotics| robot grasping| artificial intelligence,856, cs.uni-bremen.de - ,14,18,2020,2006
Kishore Jaganathan,Illumina Artificial Intelligence Laboratory Genomics None,Genomics| Deep learning| Signal processing,719, caltech.edu,10,11,2019,2012
Félix Hernández del Olmo,Artificial Intelligence Departament.  UNED None,Artificial Intelligence| Machine Learning| Reinforcement Learning| Adaptive Systems| Intelligent Control,600, dia.uned.es - ,12,12,2019,2000
Márjory Da Costa-Abreu,Senior Lecturer in Artificial Intelligence at  Sheffield Hallam University  (UK),Machine learning| Datamining| Privacy/GDPR/Data Protection| Forensics and Surveillance| Biometrics and Identity Management,509, exchange.shu.ac.uk - ,13,18,2020,2004
Mona Nasr,Head of Information Systems Dept.|  Faculty of Computers & Artificial Intelligence|   Helwan University None,e-Learning| Big Data| Data Science| Cloud Computing| Knowledge Discovery,423, fci.helwan.edu.eg - ,11,12,2020,2005
Benjamin Bischke,PhD Candidate & NVIDIA AI Lab Scholar|   German Research Center for Artificial Intelligence None,Deep Learning| Artificial Intelligence| Remote-Sensing| Satellite Imagery| Social Multimedia,346, dfki.de,9,9,2020,2015
Annemarie Friedrich,Bosch Center for Artificial Intelligence Homepage None,Computational Linguistics| Natural Language Processing,289, de.bosch.com - ,9,9,2019,2011
Mahmoud Reza Saybani|  PhD in Artificial Intelligence|  M.Eng. in Technical Mathematics,Computer Science and Information Technology|   University of Malaya None,Artificial Intelligence| Machine Learning| Deep Learning| Internet of things| Cloud Computing,236, siswa.um.edu.my,8,7,2019,2009
Stefan Daniel Dumitrescu,Research Institute for Artificial Intelligence Deep Learning None,Deep Learning| ML| Natural Language Processing| Information Extraction,212, racai.ro,7,3,2020,2010
Francesco Carbone,MBA -  University of Oxford |  PhD in Artificial Intelligence - Universidad Politécnica de,Artificial Intelligence,212, sbs.ox.ac.uk - ,6,5,2017,2003
Kexin Zhao,Baidu Silicon Valley Artificial Intelligence Lab Machine Learning None,Machine Learning| Speech| Natural Language Processing| Signal Processing,213, baidu.com,9,9,2019,2011
Afian Anwar,Visiting Scholar|  MIT Computer Science and Artificial Intelligence Laboratory Homepage None,Transportation| Robotics| Artificial Intelligence| Optimization| Queueing Theory,213, csail.mit.edu - ,7,6,2016,2011
Michal Certicky,Senior Researcher|  Artificial Intelligence Center|   Czech Technical University in Prague None,Artificial Intelligence| Machine Learning| Modelling| Game AI| Multi-Agent Systems,216, agents.fel.cvut.cz - ,10,10,2019,2007
saied eftekhari,Nabi Akram University| student of Artificial intelligence Artificial intelligence None,Artificial intelligence,217,No verified email,7,5,2020,1997
Martin Lyngby Lassen,Postdoctoral Researcher|  Artificial Intelligence in Medicine program|   Cedars-Sinai Medical Center None,Positron Emission Tomography| data-driven motion detection and compensation| cardiac PET imaging,218, cshs.org,9,8,2020,2011
Samyam Rajbhandari,Microsoft Artificial Intelligence and Research|  Ohio State University Deep Learning None,Deep Learning| High Performance Computing| Systems,218, microsoft.com,8,8,2019,2011
Marco Todescato|  Ph.D.,Bosch Center for Artificial Intelligence|   Robert Bosch GmbH None,Optimization| Reinforcement Learning| Multi-Agent Systems,218, de.bosch.com,8,6,2020,2012
